ts,tid,pid,Python id,dur,Ev Idx,cat,ph,name,Python module id,Python parent id
6083647114239.063,0,0,1,14168.402,364,python_function,X,threading.py(973): _bootstrap,,
6083647114239.987,0,0,2,14167.478,365,python_function,X,threading.py(1016): _bootstrap_inner,,1
6083647114242.035,0,0,3,14165.43,366,python_function,X,decorator.py(232): fun,,2
6083647114242.723,0,0,4,14164.742,367,python_function,X,IPython/core/history.py(61): only_when_enabled,,3
6083647114245.846,0,0,5,14161.619,368,python_function,X,IPython/core/history.py(903): run,,4
6083647114246.686,0,0,6,14160.779,369,python_function,X,threading.py(607): wait,,5
6083647114247.41,0,0,7,14160.055,370,python_function,X,threading.py(320): wait,,6
6083647114251.571,0,0,8,14155.894,371,python_function,X,threading.py(973): _bootstrap,,7
6083647114251.954,0,0,9,14155.511,372,python_function,X,threading.py(1016): _bootstrap_inner,,8
6083647114254.643,0,0,10,14152.822,373,python_function,X,ipykernel/control.py(23): run,,9
6083647114257.696,0,0,11,14149.769,374,python_function,X,tornado/platform/asyncio.py(205): start,,10
6083647114260.919,0,0,12,14146.546,375,python_function,X,asyncio/base_events.py(603): run_forever,,11
6083647114261.665,0,0,13,14145.8,376,python_function,X,asyncio/base_events.py(1871): _run_once,,12
6083647114262.525,0,0,14,14144.94,377,python_function,X,selectors.py(469): select,,13
6083647114264.507,0,0,15,14142.958,378,python_function,X,threading.py(973): _bootstrap,,14
6083647114264.798,0,0,16,14142.667,379,python_function,X,threading.py(1016): _bootstrap_inner,,15
6083647114265.629,0,0,17,14141.836,380,python_function,X,threading.py(953): run,,16
6083647114266.635,0,0,18,14140.83,381,python_function,X,ipykernel/iostream.py(387): _watch_pipe_fd,,17
6083647114269.803,0,0,19,14137.662,382,python_function,X,threading.py(973): _bootstrap,,18
6083647114270.115,0,0,20,14137.35,383,python_function,X,threading.py(1016): _bootstrap_inner,,19
6083647114270.677,0,0,21,14136.788,384,python_function,X,threading.py(953): run,,20
6083647114270.967,0,0,22,14136.498,385,python_function,X,ipykernel/iostream.py(387): _watch_pipe_fd,,21
6083647114273.563,0,0,23,14133.902,386,python_function,X,threading.py(973): _bootstrap,,22
6083647114274.088,0,0,24,14133.377,387,python_function,X,threading.py(1016): _bootstrap_inner,,23
6083647114276.745,0,0,25,14130.72,388,python_function,X,ipykernel/heartbeat.py(106): run,,24
6083647114280.263,0,0,26,14127.202,389,python_function,X,threading.py(973): _bootstrap,,25
6083647114280.516,0,0,27,14126.949,390,python_function,X,threading.py(1016): _bootstrap_inner,,26
6083647114280.889,0,0,28,14126.576,391,python_function,X,threading.py(953): run,,27
6083647114281.404,0,0,29,14126.061,392,python_function,X,ipykernel/iostream.py(92): _thread_main,,28
6083647114282.202,0,0,30,14125.263,393,python_function,X,tornado/platform/asyncio.py(205): start,,29
6083647114282.6,0,0,31,14124.865,394,python_function,X,asyncio/base_events.py(603): run_forever,,30
6083647114283.099,0,0,32,14124.366,395,python_function,X,asyncio/base_events.py(1871): _run_once,,31
6083647114283.546,0,0,33,14123.919,396,python_function,X,selectors.py(469): select,,32
6083647114295.776,383547,383547,34,14111.689,397,python_function,X,runpy.py(196): _run_module_as_main,,
6083647114298.61,383547,383547,35,14108.855,398,python_function,X,runpy.py(86): _run_code,,34
